City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Hami,CN,42.8,93.45,12.34,19,0,2.82,clear sky
190,Frei Paulo,BR,-10.5494,-37.5344,26.02,74,95,4.92,overcast clouds
191,Tongliao,CN,43.6125,122.2653,5.89,62,3,2.97,clear sky
192,Fairview,US,40.8126,-73.999,11.42,33,75,8.75,broken clouds
193,Ribeira Grande,PT,38.5167,-28.7,16.22,67,20,7.72,few clouds
194,Rafraf,TN,37.1904,10.1837,13.18,64,100,8.6,overcast clouds
195,Lisakovsk,KZ,52.5369,62.4936,8.15,62,100,2.89,overcast clouds
196,Qaqortoq,GL,60.7167,-46.0333,-0.26,81,100,2.32,overcast clouds
197,Tumut,AU,-35.3,148.2167,13.46,65,100,1.82,overcast clouds
198,Kaitangata,NZ,-46.2817,169.8464,5.89,90,5,1.68,clear sky
199,Samarai,PG,-10.6167,150.6667,27.61,79,99,4.34,overcast clouds
200,Kemin,KG,42.7846,75.6892,16.05,37,96,3.34,overcast clouds
201,Aguas Vermelhas,BR,-15.7472,-41.46,18.93,91,100,1.99,overcast clouds
202,Roald,NO,62.5833,6.1333,9.51,71,75,1.54,broken clouds
203,Talas,TR,38.6908,35.5538,15.37,33,75,0.0,broken clouds
204,College,US,64.8569,-147.8028,1.18,31,20,5.66,few clouds
205,Beira,MZ,-19.8436,34.8389,27.05,83,40,4.63,scattered clouds
206,Axim,GH,4.8699,-2.2405,26.36,84,90,4.6,overcast clouds
207,Asha,RU,54.9973,57.2722,4.23,90,100,1.51,light rain
208,Nizhniy Kuranakh,RU,58.8353,125.4869,-5.96,83,100,2.59,overcast clouds
209,Quarai,BR,-30.3875,-56.4514,21.12,59,75,3.35,broken clouds
210,Port Macquarie,AU,-31.4333,152.9167,13.83,92,17,1.84,few clouds
211,Veraval,IN,20.9,70.3667,26.67,71,0,4.79,clear sky
212,Takhtamygda,RU,54.1,123.5667,-2.21,55,100,0.85,overcast clouds
213,Mahebourg,MU,-20.4081,57.7,25.16,94,75,1.03,broken clouds
214,Tsabong,BW,-26.0217,22.401,18.54,79,33,4.52,light rain
215,Huilong,CN,31.8111,121.655,13.85,62,100,1.73,overcast clouds
216,Fukue,JP,32.6881,128.8419,15.42,45,100,2.27,overcast clouds
217,Kaffrine,SN,14.1059,-15.5508,33.85,12,40,4.29,scattered clouds
218,Nikolskoye,RU,59.7035,30.7861,3.22,77,100,1.73,overcast clouds
219,Los Llanos De Aridane,ES,28.6585,-17.9182,18.86,83,12,7.2,few clouds
220,Touros,BR,-5.1989,-35.4608,27.86,72,88,3.72,overcast clouds
221,Kenai,US,60.5544,-151.2583,4.52,71,100,0.0,overcast clouds
222,Acari,PE,-15.4311,-74.6158,24.94,54,10,4.54,clear sky
223,Saint-Augustin,CA,51.226,-58.6502,2.51,100,100,7.32,overcast clouds
224,Nelson,NZ,-41.2833,173.2833,9.05,73,15,0.45,few clouds
225,Vao,NC,-22.6667,167.4833,25.06,69,26,1.83,scattered clouds
226,Sakakah,SA,29.9697,40.2064,25.76,12,0,4.37,clear sky
227,Hobyo,SO,5.3505,48.5268,28.56,81,27,5.76,light rain
228,Aklavik,CA,68.2191,-135.0107,-7.0,42,75,6.69,broken clouds
229,Mount Isa,AU,-20.7333,139.5,15.87,55,2,0.0,light rain
