City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
294,San Quintin,MX,20.01,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
295,Changli,CN,12.72,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
297,Cuenca,EC,15.07,light rain,-2.8833,-78.9833,Hotel Cuenca
298,Long Beach,US,26.1,clear sky,33.766999999999996,-118.1892,The Westin Long Beach
299,Bethel,US,10.02,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
300,Porto Novo,BJ,28.9,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
304,Ugoofaaru,MV,28.93,overcast clouds,5.6667,73.0,Ungoofaaru Inn
305,Shiraz,IR,15.69,clear sky,29.6036,52.5388,Shams Hotel
307,Talara,PE,29.42,clear sky,-4.5772,-81.2719,Hostal Oro Negro
309,Sandakan,MY,25.82,few clouds,5.8402,118.1179,Hotel Sandakan
310,Bam,IR,22.32,few clouds,29.105999999999998,58.357,Bam Tourist Hotel
313,Gondanglegi,ID,24.17,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
314,Wang Saphung,TH,24.85,clear sky,17.301,101.7685,โรงแรมวังรีสอร์ท
315,Las Vegas,US,28.47,clear sky,36.175,-115.1372,Plaza Hotel & Casino
317,Pyapon,MM,26.86,scattered clouds,16.2833,95.6833,Aung Naing Thu Motel
318,Najran,SA,28.36,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
320,Padang,ID,25.76,heavy intensity rain,-0.9492,100.3543,Mercure Padang
321,Ukiah,US,19.69,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
323,Seoul,KR,10.76,broken clouds,37.5683,126.9778,롯데호텔 서울
327,Santa Cruz,BO,27.03,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
328,Russell,US,20.6,heavy intensity rain,32.3502,-85.1999,Macs
329,Mandapeta,IN,25.38,broken clouds,16.8667,81.9333,Sri satyanarayana vilas kokas Lodge
330,Aguas Formosas,BR,20.8,overcast clouds,-17.0822,-40.9358,HOTEL HAVAY PALACE
331,Praia Da Vitoria,PT,18.14,few clouds,38.7333,-27.0667,Hotel Branco I
332,Buraydah,SA,26.25,clear sky,26.326,43.975,Mövenpick Qassim
333,Half Moon Bay,US,20.08,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
336,Rio Verde De Mato Grosso,BR,28.89,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
337,Sibolga,ID,25.31,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
338,Durban,ZA,18.29,light rain,-29.8579,31.0292,Hilton Durban
339,Zharkent,KZ,17.58,few clouds,44.1628,80.0,гостиница Satti
340,Northam,GB,11.81,few clouds,51.0333,-4.2167,Durrant House Hotel
342,Bereda,ES,11.9,clear sky,43.2686,-7.5406,Pazo de Verdes
